jp,en
けいようし,adjective
おとな,adult
ごご,afternoon; pm
くうき,air
くうこう,airport
せいぜん,alive; during one's lifetime
どうぶつ,animal
アパート,apartment
りんご,apple
しがつ,April
て,hand; arm
ぐんたい,army
びじゅつ,art
げいじゅつか,artist
こうげき,attack (noun/する verb)
はちがつ,August
さっか,author (noun)
あかちゃん,baby
せ,back; spine
うしろ,back (direction)
わるい,bad
かばん,bag
ボール,ball
バナナ,banana
バンド,band
ぎんこう,bank
さかば,bar (for drinking)
おてあらい,bathroom
うみべ,beach
ひげ,beard
なぐる,to beat; to strike (う verb)
きれい,beautiful
ベッド,bed
しんしつ,bedroom
ぎゅうにく,beef
ビール,beer
まがる,to bend (う-verb)
のみもの,beverage
じてんしゃ,bicycle
おおきい,big
つけ,bill; tab (noun)
じゅうおく,billion
とり,bird
くろい,black
めのふじゆ（な）,blindess
けつえき,blood
あおい,blue
ボート,boat
からだ,body
ほね,bone
ほん,book
びん,bottle
うら,bottom
はこ,box
おとこのこ,boy
のう,brain
おる,to break (う-verb)
パン,bread
あさごはん,breakfast
はし,bridge
おにいさん,(older) brother
おとうと,(little) brother
ちゃいろ,brown
たてる,to build (る-verb)
ビル,building
やく,burn (う-verb)
バス,bus
買う,to buy (う-verb)
ケーキ,cake
電話,to call (する-verb)
カメラ,camera
キャンプ,camp (noun)
くるま,car
カード,card
もつ,to carry (う-verb)
ねこ,cat
キャチ,to catch (する-verb)
でんじょう,ceiling
けいたいでんわ,cell phone
センチ,centimeter
いす,chair (noun)
やすい,cheap
チーズ,cheese
にわとり,chicken
こども,child
きょうかい,church
まる,circle (noun)
し,city
ねんど,clay
せいけつ,clean (adjective)
そうじ,to clean (する-verb)
とけい,clock
しめる,to close (る-verb)
ふく,clothes
クラブ,club; nightclub
コート,coat (noun)
コーヒー,coffee
さむい,cold
いろ,color (noun)
りょうり,to cook (する-verb)
コンピューター,computer
しいん,consonant
けいやく,contract; agreement
かっこいい,cool (stylish)
どう,copper
こうか,coin
とうもろこし,corn
すみ,corner
かぞえる,to count (る-verb)
こく,country
さいばんしょ,court
うし,cow
おおぜい,crowd (large number of people)
なく,to cry (う-verb)
カップ,cup
やまなり（な）,curved
きる,to cut (う-verb)
おどる,to dance (う-verb)
くらい,dark
ひづけ,date (calendar)
おじょうさん,daughter
ひ,day
しぬ,to die (う-verb)
ろうしゃ,deaf person
じゅうにがつ,December
ふかい,deep (e.g. a hole)
ダイヤモンド,diamond
ほる,to dig (う-verb)
ばんごはん,dinner
ほう,direction
きたない,dirty
びょうき,disease
いしゃ,doctor
いぬ,dog
ドル,dollar
とびら,door
てん,dot
ダウン,down
かく,to draw (う-verb)
ゆめ,dream (noun)
ドレス,dress
のむ,to drink (う-verb)
うんてん,to drive (する-verb)
やくざい,drug
ドライ,dry
ほこり,dust (noun)
みみ,ear
ちきゅう,earth (as a planet)
ひがし,east
たべる,to eat (る-verb)
ふち,edge
たまご,egg
はち,eight
じゅうはち,eighteen
はちじゅう,eighty
でんしきき,electronic device
じゅういち,eleven
エネルギー,energy (in physics)
エンジン,engine
よる,evening
うんどう,to exercise (する-verb)
たかい,expensive
ばくはつ,to explode (する-verb)
目,eye (noun)
かお,face (noun)
あき,fall (season)
てんらく,to fall (tumble) (する-verb)
かぞく,family
ゆうめい（な）,famous
